"n" "rep" "id" "beta_0_hat" "beta_1_hat" "gamma_0_hat" "gamma_1_hat" "error" "errorMessage"
1000 155 210 -1.32234624097204 3.44547892653554 2.01476868435977 -3.37338410200656 FALSE ""
700 174 211 -1.23672738328653 3.22092179049842 2.58625576451836 -3.75821027680439 FALSE ""
800 41 212 -1.33665818329655 3.51399914449441 2.01295076050965 -3.22723270359655 FALSE ""
600 125 213 -1.22115637402415 3.40190780652669 1.88541961025704 -3.23938121285639 FALSE ""
500 123 214 -1.37127962894004 3.58043408130068 1.85559628611128 -3.18433312969793 FALSE ""
500 82 215 -1.40975816592181 3.45365496712119 2.24316976139395 -3.39274906230381 FALSE ""
900 130 216 -1.24239539021001 3.29297497577087 2.08994244659342 -3.14083153264728 FALSE ""
400 163 217 -1.43837561083714 3.61217281164767 2.21135994179311 -3.17558528190028 FALSE ""
400 15 218 -1.38631626142022 3.43028253169933 2.44703883901861 -3.57601359133002 FALSE ""
900 124 219 -1.38064786407811 3.52184024641418 2.19112172578573 -3.58822347930009 FALSE ""
700 8 220 -1.25868127579351 3.22274128252864 2.37595169919613 -3.79176976713366 FALSE ""
900 176 221 -1.25202148780996 3.34491581338827 1.9851070298866 -3.27405112168926 FALSE ""
1000 97 222 -1.34905279960288 3.45855505801323 2.22741241531371 -3.65899360785672 FALSE ""
1000 85 223 -1.36899050612859 3.41649163811546 2.24740401984329 -3.52981936455308 FALSE ""
400 84 224 -1.32255478510738 3.32954695803791 1.84057324549348 -2.81719438674068 FALSE ""
800 14 225 -1.36989325567827 3.49500128812307 1.93056421184502 -3.11244768641598 FALSE ""
800 55 226 -1.45001774155934 3.41120853329882 2.63826207890209 -3.6103068556606 FALSE ""
500 187 227 -1.42323439272925 3.39767387579938 2.67471593043508 -3.62060882012288 FALSE ""
900 154 228 -1.35010254392342 3.33763012335617 2.30299948822186 -3.27137150051818 FALSE ""
1000 19 229 -1.32267247556674 3.43465255145668 2.02065952976122 -3.16321856401896 FALSE ""
400 143 230 -1.16604566018144 3.28942613526451 1.72553229268003 -3.13265474479701 FALSE ""
500 31 231 -1.14636821995793 3.28696228878273 1.6174844790049 -3.09897204313479 FALSE ""
600 46 232 -1.40943606876322 3.44089721542245 2.44513523067179 -3.57699691369466 FALSE ""
500 115 233 0.407636317532821 3.56961314277504 -1.99369162921875 -2.54838265585806 FALSE ""
800 174 234 -1.24296434660094 3.42015770300657 1.76919207985356 -3.21637179685246 FALSE ""
1000 11 235 -1.36207107233099 3.42278801204784 2.36299290253295 -3.50416727057505 FALSE ""
500 159 236 -1.39262029050891 3.4550047836618 2.27681323098754 -3.41727026246632 FALSE ""
800 83 237 -1.28471479979342 3.36158441199843 2.18233411444381 -3.60646133452512 FALSE ""
500 192 238 -1.22873521626993 3.38614330492373 2.05073224817299 -3.54433418053204 FALSE ""
500 116 239 -1.3170161966542 3.41514844355856 1.90520170134216 -3.04152355563649 FALSE ""
600 90 240 -1.44931199576917 3.47109601270509 2.52369431982414 -3.5819344689029 FALSE ""
800 33 241 -1.34302900706476 3.48776366484697 2.06285169659841 -3.26136339848757 FALSE ""
700 70 242 -1.2561700297303 3.39455754689785 1.90632545241738 -3.07299073081086 FALSE ""
900 126 243 -1.4562514381959 3.47582658384461 2.45628782145719 -3.33461014757542 FALSE ""
700 64 244 -1.19619184301385 3.32842640664357 1.79602570911975 -3.12383023402123 FALSE ""
900 160 245 -1.2818552703252 3.3996311138639 1.83021647272415 -2.97352601913867 FALSE ""
1000 135 246 -1.38207326297546 3.47474696704705 2.39977255759066 -3.53111272730119 FALSE ""
900 59 247 -1.37020873449815 3.52671884462335 2.07671081285451 -3.44642307713513 FALSE ""
700 105 248 -1.23282336285048 3.40683772858194 1.88132041323987 -3.29117428222017 FALSE ""
900 85 249 -1.33947601058388 3.37346515143501 2.46697310265029 -3.7487120942034 FALSE ""
700 169 250 -1.3590258518547 3.41234525619825 2.50995716183157 -3.91405246089092 FALSE ""
1000 183 251 -1.23482770244639 3.31525662467011 2.18678468364418 -3.66481120204489 FALSE ""
500 130 252 -1.39800824533643 3.43698978321077 2.50922131764214 -3.95525394703725 FALSE ""
600 95 253 -1.38762095765945 3.35812313631611 2.34899640653088 -3.22504290610711 FALSE ""
900 18 254 -1.33432158933416 3.32817035225738 2.49053363578593 -3.91765243421434 FALSE ""
500 68 255 -1.26974428640595 3.40661419609342 1.86255057233195 -3.0877558175947 FALSE ""
600 151 256 -1.28319079802078 3.41026857056721 2.04667889199716 -3.38073167436103 FALSE ""
700 59 257 -1.15205496089206 3.33277887422135 1.78937066804332 -3.24443482116108 FALSE ""
600 129 258 -1.23368183793106 3.20896391505016 2.41133023074762 -3.77866909495187 FALSE ""
400 137 259 -1.33824068754051 3.59658634841346 2.13690138731847 -3.87187949796079 FALSE ""
500 200 260 -1.26629569218831 3.19289994172289 2.04527900680383 -3.07103470790779 FALSE ""
500 15 261 -1.21124789657994 3.24746117485684 1.99599752059136 -3.31267118844036 FALSE ""
600 3 262 -1.13141361632317 3.28671280129371 1.80359262352496 -3.32917930036235 FALSE ""
800 7 263 0.597233044171264 3.44393567990199 -2.11044077772588 -2.75709136264558 FALSE ""
900 179 264 -1.34975028492829 3.38893412941579 2.02020922030336 -2.95788718026197 FALSE ""
1000 147 265 -1.32761476352938 3.41256997683035 2.18755012254487 -3.50799660714976 FALSE ""
500 5 266 -1.38545006478199 3.65127186110442 1.90827303687239 -3.14825118687579 FALSE ""
800 116 267 -1.37758841503964 3.4019760498368 2.14538676441828 -3.20460789764771 FALSE ""
400 106 268 -1.38727670675998 3.46513882914625 2.65692159245066 -3.90453270567628 FALSE ""
900 146 269 -1.29394281287775 3.48874400994113 1.87837130425749 -3.39275628891297 FALSE ""
500 126 270 0.601847735588917 3.5902678493161 -2.27422021885392 -2.9152135133984 FALSE ""
600 10 271 -1.42284677725794 3.50640322015278 2.21942404733384 -3.44581000135491 FALSE ""
800 22 272 -1.32199885954356 3.39567770836558 2.21672328410021 -3.56619034705582 FALSE ""
500 140 273 -1.20924278038764 3.3038067995986 2.14887362653367 -3.42955600298298 FALSE ""
800 45 274 -1.32706113143429 3.42119513649817 2.00210314261805 -3.13408193033817 FALSE ""
700 26 275 -1.15722824486304 3.2609019908922 1.86060768566716 -3.34070323972504 FALSE ""
1000 149 276 -1.41491684054513 3.39441331364735 2.41159383943536 -3.48286911000203 FALSE ""
600 157 277 -1.250697462594 3.34846189592589 2.08753602603796 -3.34343816916941 FALSE ""
500 71 278 -1.2889779134534 3.40609818848525 2.15056442986297 -3.57954479224904 FALSE ""
600 93 279 -1.37657313781355 3.3381331895518 2.47675567958575 -3.54411357239321 FALSE ""
1000 37 280 -1.25701371120132 3.37735061471551 1.90155690263055 -3.36542565710226 FALSE ""
500 50 281 -1.26321905945025 3.38830252309923 2.19415929804811 -3.68276560021048 FALSE ""
400 63 282 -1.35587112303757 3.4277472593001 2.44868360304826 -3.37697634663782 FALSE ""
900 4 283 -1.32939527911257 3.50490139161905 1.99687379836637 -3.37382141157739 FALSE ""
600 94 284 -1.35009656086411 3.4965031971994 2.16629093585568 -3.56068996645038 FALSE ""
800 112 285 -1.28299229607396 3.45204969388431 1.88926305961043 -3.23423429343698 FALSE ""
800 31 286 -1.4199645618529 3.60187634611751 2.23152128767363 -3.54143154475926 FALSE ""
900 22 287 -1.34356999618408 3.36915946538812 2.37243849432872 -3.3704610883857 FALSE ""
400 162 288 -1.32581211411095 3.20450679529156 2.34425471059904 -3.26004085054473 FALSE ""
700 120 289 -1.35508347223861 3.44530378116363 2.19625399011266 -3.52529207522435 FALSE ""
800 88 290 -1.30134586851309 3.42269615581686 2.09501721104607 -3.61055098337962 FALSE ""
